Sensitivity,Result,URL
1Base_Wx-Years_EQ_,"Capacity available for Great Britain, ST-Biomass",https://epsi.genscape.com/epsa/sensitivity/3416/results/241/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Fuel price (original units) for France, Coal",https://epsi.genscape.com/epsa/sensitivity/3416/results/198/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for DE-Herdecke Cuno",https://epsi.genscape.com/epsa/sensitivity/3416/results/139/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Unserved energy for Portugal",https://epsi.genscape.com/epsa/sensitivity/3416/results/389/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for DE-Emsland Gas # C",https://epsi.genscape.com/epsa/sensitivity/3416/results/129/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Czech Republic, ST-Biomass",https://epsi.genscape.com/epsa/sensitivity/3416/results/327/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Czech Republic, Solar",https://epsi.genscape.com/epsa/sensitivity/3416/results/320/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Flow (forward) for Great Britain - Norway",https://epsi.genscape.com/epsa/sensitivity/3416/results/280/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Flow (forward) for Portugal - Spain",https://epsi.genscape.com/epsa/sensitivity/3416/results/273/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Capacity available for France, ST-Lignite",https://epsi.genscape.com/epsa/sensitivity/3416/results/236/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Capacity available for Spain, ST-Nuclear",https://epsi.genscape.com/epsa/sensitivity/3416/results/361/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Line capacity (forward) for Great Britain - Ireland incl NI",https://epsi.genscape.com/epsa/sensitivity/3416/results/249/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Capacity available for Germany, ST-Lignite",https://epsi.genscape.com/epsa/sensitivity/3416/results/218/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"CO2 price for Spain",https://epsi.genscape.com/epsa/sensitivity/3416/results/202/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for DE-Weisweiler # H (VGT)",https://epsi.genscape.com/epsa/sensitivity/3416/results/168/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for NL-Salinco",https://epsi.genscape.com/epsa/sensitivity/3416/results/184/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for DE-Gersteinwerk # I",https://epsi.genscape.com/epsa/sensitivity/3416/results/135/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Austria, ST-Gas",https://epsi.genscape.com/epsa/sensitivity/3416/results/14/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Netherlands, GT",https://epsi.genscape.com/epsa/sensitivity/3416/results/348/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for DE-Irsching # 5",https://epsi.genscape.com/epsa/sensitivity/3416/results/145/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Belgium, Hydro-PS",https://epsi.genscape.com/epsa/sensitivity/3416/results/49/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for NL-Delesto # 1",https://epsi.genscape.com/epsa/sensitivity/3416/results/178/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Austria, ST-Biomass",https://epsi.genscape.com/epsa/sensitivity/3416/results/24/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Denmark (East), ST-Nuclear",https://epsi.genscape.com/epsa/sensitivity/3416/results/285/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for DE-Huerth Knapsack I # 1",https://epsi.genscape.com/epsa/sensitivity/3416/results/140/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for DE-Bayer Dormagen",https://epsi.genscape.com/epsa/sensitivity/3416/results/124/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Demand for France",https://epsi.genscape.com/epsa/sensitivity/3416/results/104/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for DE-Franken I # 1",https://epsi.genscape.com/epsa/sensitivity/3416/results/131/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for NL-Leiden",https://epsi.genscape.com/epsa/sensitivity/3416/results/181/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Unserved energy for France",https://epsi.genscape.com/epsa/sensitivity/3416/results/385/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Capacity available for France, ST-Gas",https://epsi.genscape.com/epsa/sensitivity/3416/results/234/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Czech Republic, ST-Coal",https://epsi.genscape.com/epsa/sensitivity/3416/results/314/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Great Britain, Hydro-PS",https://epsi.genscape.com/epsa/sensitivity/3416/results/307/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for DE-Ludwigshafen Sud # 1",https://epsi.genscape.com/epsa/sensitivity/3416/results/154/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Austria, ST-Oil",https://epsi.genscape.com/epsa/sensitivity/3416/results/23/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Unserved energy for Netherlands",https://epsi.genscape.com/epsa/sensitivity/3416/results/388/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Capacity available for Spain, ST-Gas",https://epsi.genscape.com/epsa/sensitivity/3416/results/364/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Switzerland, Hydro-RoR",https://epsi.genscape.com/epsa/sensitivity/3416/results/96/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Netherlands, ST-Waste",https://epsi.genscape.com/epsa/sensitivity/3416/results/355/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Missing object",https://epsi.genscape.com/epsa/sensitivity/3416/results/159/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Czech Republic, ST-Oil",https://epsi.genscape.com/epsa/sensitivity/3416/results/326/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Missing object",https://epsi.genscape.com/epsa/sensitivity/3416/results/160/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Belgium, Solar",https://epsi.genscape.com/epsa/sensitivity/3416/results/47/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Capacity available for Spain, CCGT",https://epsi.genscape.com/epsa/sensitivity/3416/results/367/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"System Marginal Price for Germany",https://epsi.genscape.com/epsa/sensitivity/3416/results/8/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Switzerland, ST-Oil",https://epsi.genscape.com/epsa/sensitivity/3416/results/98/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Spain, Solar",https://epsi.genscape.com/epsa/sensitivity/3416/results/335/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Germany, ST-Waste",https://epsi.genscape.com/epsa/sensitivity/3416/results/37/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Belgium, ST-Lignite",https://epsi.genscape.com/epsa/sensitivity/3416/results/43/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Flow (backward) for France - Spain",https://epsi.genscape.com/epsa/sensitivity/3416/results/270/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Fuel price (original units) for Netherlands, Coal",https://epsi.genscape.com/epsa/sensitivity/3416/results/195/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
